제목,작성일,본문,상세 링크,이미지 파일 경로
동계방학 중 장서실 운영시간 변경 안내,2021년 12월 16일,"동계방학 중장서실 운영시간이 아래와 같이 변경되오니 이용에 참고해주시기 바랍니다.
■ 기간: 2021. 12. 22.(수) ~ 2022. 2. 28.(월)
■ 운영시간:평일 09:00 ~ 18:00(토·일·공휴일 휴실)
■ 문의: 자료운영팀(033-250-8009, 8010)",https://library.kangwon.ac.kr/community/bulletin/notice/21785?max=100&offset=700&bulletinCategoryId=1,
아침독서 온라인퀴즈(4차) 정답 및 경품 당첨자 공지,2021년 12월 16일,"2021년‘강원대학교 도서관 아침독서’온라인 퀴즈(4차)
-내용: 2021. 1. ~ 2021. 11.아침독서44권의 도서요약 내용
-기간: 2021. 12. 1.(수) ~ 12. 15.(수)
-참여자: 377명(춘천: 259명,삼척·도계: 118명)
-정답자: 243명(춘천: 177명,삼척·도계: 66명)
□아침독서 온라인 퀴즈(4차)정답
문항
정답
1
수두
2
에빙하우스
3
농업과 관련된 온실가스의 지구 온난화 지수(GWP)는 이산화탄소가 가장 높다
4
칭찬은 되도록 여러사람 앞에서 하는 것이 좋다
5
사회적 태만
□아침독서 온라인 퀴즈(4차)경품 당첨자:첨부물 참조
※경품은 퀴즈 참여시 기입하신 핸드폰으로 온라인 상품권이 지급되었습니다.
□비교과마일리지(비교과인증프로그램)
-학생참여자 전원에게 비교과마일리지 부여
□문의:정보서비스팀(250-8016)",https://library.kangwon.ac.kr/community/bulletin/notice/21784?max=100&offset=700&bulletinCategoryId=1,
[방역패스] 백신접종증명 방법 안내,2021년 12월 10일,"방역패스 의무화 관련하여 백신접종증명 방법을 확인하던 차에 COOV(쿠브)앱과 네이버 및 카카오앱간의 차이가 있어서 추가로 안내해드리니 참고바랍니다.
구분
COOV(쿠브)앱
네이버 또는 카카오앱
PCR검사결과 음성확인서
비 고
확인순서
1. COOV(쿠브)앱 실행
2.2차접종완료여부 확인
3.신분증과 본인인증
증명서상의 정보동일인 여부 확인
4.백신접종완료 스티커 핸드폰 또는 신분증 부착
1.네이버 또는 카카오앱QR체크인 실행
2.출입인증 태블릿에
인증하고 입장
1.신분증과 확인서상
동일인 여부 확인
2.당일 재입장(날짜
기재)스티커 부착
네이버와 카카오앱으로 본인여부확인 불가능
이후 입장시
백신접종완료 스티커만 확인후 입장가능
매 입장시마다 인증필요
재입장 스티커
(당일분만 허용)
확인 후 입장가능
PCR검사결과
재입장스티커는
날짜 확인 필요
※이외의 내용은 기 공지한 대상자별 증명서 확인방법에 따름
",https://library.kangwon.ac.kr/community/bulletin/notice/21783?max=100&offset=700&bulletinCategoryId=1,
[웨비나] 프리미엄 저널에 논문을 투고하는 전략 및 기술,2021년 12월 08일,"엘스비어?KOREA EDUCATION WEEK 2021

행사내용 : 프리미엄 저널에 논문을 투고하는 전략 및 기술
행사일정 : 12월 13일(월) ~ 17일(금)
참여방법 : [등록링크?접속] - [개인 로그인] - ['Register now' 클릭]
주최 : 엘스비어 ELSEVIER

High quality peer review in clinical and translational research과학 출판 과정에서의 동료 심사의 역할 및 개인·사회적 이점",https://library.kangwon.ac.kr/community/bulletin/notice/21781?max=100&offset=700&bulletinCategoryId=1,
도서관 출입시 방역패스 의무화 안내,2021년 12월 07일,"도서관 방역패스 의무화에 따라2021년 12월 6일(월)부터도서관 입장시 백신 접종완료 등 확인절차를 거쳐야만?도서관 출입과 이용이 가능합니다.
다만,2021년 12월 6일(월)부터 12일(일)까지는 계도기간으로실제 확인절차는 12월 13일(월)부터 시행됨을 알려드립니다.
도서관 출입시 대상자별 증명서 확인방법은 다음과 같습니다.

구 분
증명서 종류
확인내용
2차 접종 완료자/
3차 접종(부스터)완료자
①전자증명서
-(본인확인)성명,생년월일
-(유효기간)2차 접종완료14일 이후부터6개월(180일)까지
*3차 접종(부스터)완료자는 유효기간확인 불요
②종이증명서(예방접종증명서)
③예방접종 스티커
PCR검사결과 음성 확인자
①PCR음성확인문자
(’21.12월말까지 한시 적용)
-(본인확인)성명,생년월일
-(유효기간)결과 통보받은 시점부터48시간이 되는 날의 자정까지
①종이 증명서(PCR음성확인서)
②전자 증명서
코로나19확진 후
격리해제자(완치자)
①종이 증명서(격리해제확인서)
-(본인확인)성명,생년월일
-(유효기간)격리해제일로부터6개월(180일)까지
②전자 증명서
확진자 중 접종완료자
(돌파감염자 포함)
①종이 증명서(접종증명·음성확인예외증명서)
-(본인확인)성명,생년월일
-(유효기간)해당사항 없음
②전자 증명서
예외적용
만18세 이하
청소년
①신분증
-(본인확인)성명,생년월일
-(연령)성명,나이
-(유효기간)18세 초과 여부
임상시험참여/
1차 접종후 중대한이상반응/
예방접종금기자
①종이 증명서(접종증명·음성확인예외증명서)
-(본인확인)성명,생년월일
-(유효기간)해당사항 없음
②전자 증명서
기타 건강상의 이유 해당자
①종이 증명서(접종증명·음성확인예외증명서)
-(본인확인)성명,생년월일
-(유효기간)발급일로부터6개월(180일)",https://library.kangwon.ac.kr/community/bulletin/notice/21780?max=100&offset=700&bulletinCategoryId=1,
2021년 핵심역량강화 독서후기대회 수상작 발표,2021년 12월 06일,"2021년'핵심역량강화 독서후기대회'에 참여하신 모든 분들께 감사드립니다.

<2021년'핵심역량 강화 독서후기 대회>
1.수상자: 28명(학부: 20명,대학원: 8명) <붙임 참조>
※학부생들의 많은 참여와 우수 작품이 많은 관계로 학부생 선발 규모 확대
2.비교과마일리지:참여자 전원에게 강원대학교 비교과마일리지 부여(교내경진대회)
3.상장수여 및 장학금 지급:수상자에게 개별연락 공지
4.기념품 지급:참여자 전원(수상자 제외)에게 기념품 지급
-기 간: ‘21. 12. 13.(월) ~ 12. 16.(목) 4일간
-장 소:중앙도서관2층 안내데스크
5.문의:정보서비스팀(250-8016)",https://library.kangwon.ac.kr/community/bulletin/notice/21778?max=100&offset=700&bulletinCategoryId=1,
중앙도서관 도서 이용 제한 및 자료실 변경 운영 안내,2021년 12월 06일,"KNU미래도서관 운영을 위한 중앙도서관 자료 이전 및 공간 재배치와 관련하여 아래와 같이 도서 이용 제한 및 자료실 변경 운영에 대하여 안내하오니 이용에 착오 없으시길 바랍니다.

가. 도서대출 및 이용 중지
1) 도서이전기간:'21. 12. 6.(월) ~ 12.11.(토)
- 대상자료실:서양서단행본실, 논문자료실, 참고도서실, 제1,6보존서고
2) 장서점검기간:'21. 12. 13.(월) ~ '22. 1. 28.(금)
- 대상자료실:KNU미래도서관 통합보존서고
3) 이용문의: 자료운영팀(250-8009)

나. 중앙도서관 자료실 변경 운영
1) 변경 내용

현행
변경
층
자료실
층
자료실
1층
서양서단행본실,논문자료실,학위논문실,
제1,6보존서고
1층
-서양서단행본실,논문자료실,제1,6보존서고:폐실
-학위논문실(폐가제 운영)
2층
참고도서실
2층
참고도서실·서양서단행본실
3층
연속간행물실/외국학술지지원센터
3층
변경내용 없음
4층
멀티미디어실/백령시네마
4층
〃
5층
장서실
5층
〃
2) 적용일시: '21. 12. 6.(월)",https://library.kangwon.ac.kr/community/bulletin/notice/21776?max=100&offset=700&bulletinCategoryId=1,
"[이벤트] DBpia 2021년, 나의 논문 라이프",2021년 12월 06일,,https://library.kangwon.ac.kr/community/bulletin/notice/21775?max=100&offset=700&bulletinCategoryId=1,data/images/b1cdab82c7defd75a826abfc72264494.jpg
[이벤트] DBpia x 아카루트 해외 논문 번역 지원 사업(인문/사회과학 분야),2021년 12월 06일,,https://library.kangwon.ac.kr/community/bulletin/notice/21774?max=100&offset=700&bulletinCategoryId=1,data/images/e74e0250bfc0badc48ae6cd970793b2f.jpg
도서관 인기대출도서 TOP 10 (2021년 11월),2021년 12월 02일,"

아래 링크를 클릭하여 다양한?도서 정보를 찾아보세요!
11~12월 테마도서 큐레이션 >>
전자도서관 >>사서 추천도서 >>신착도서 >>
학과별 추천도서 >>우수학술도서 >>
타기관 상호대차 비용 지원 안내(~2022.1)?>>",https://library.kangwon.ac.kr/community/bulletin/notice/21771?max=100&offset=700&bulletinCategoryId=1,data/images/34c94a7078e39ff35f259cf756987c65.jpg
2021년 '핵심역량강화 독서후기대회' 접수결과 안내,2021년 12월 01일,"1. 참가자: 52명(학부: 44명, 대학원: 8명)
2. 심사
- (1차심사: 표절심사) 참가자 전원 1차심사 통과
- (2차심사: 심사위원심사)
3. 우수작 선정 및 발표: 12월 중순
4. 기? ?타: 향후 우수작 수상집(ebook제작)을 도서관 홈페이지>백령컬렉션에 게제 예정
5. 문? ?의: 정보서비스팀(250-8016)",https://library.kangwon.ac.kr/community/bulletin/notice/21767?max=100&offset=700&bulletinCategoryId=1,
아침독서 온라인 퀴즈(4차) 안내,2021년 12월 01일,"1.내용: 2021. 1. ~ 2021. 11.아침독서44권의 도서요약 내용
2.기간:2021. 12. 1.(수) ~ 2021. 12. 15.(수)
3.대상:교내 구성원 전체(춘천,삼척도계)
4.경품:정답자 중20명을 추첨하여3만원 상당 경품 지급
5.비교과마일리지:학생 참여자 전원에게 강원대학교 비교과마일리지 부여
6.정답 및 경품수령자 공지:2021. 12. 17(금)도서관 홈페이지
7.문의:학술정보운영과 정보서비스팀(033-250-8016)
8.아침독서 서비스 신청 방법:첨부물 참조

온라인 퀴즈(4차)문제풀기",https://library.kangwon.ac.kr/community/bulletin/notice/21766?max=100&offset=700&bulletinCategoryId=1,
[온라인 교육] 비디오저널 Jove 이용교육,2021년 11월 26일,,https://library.kangwon.ac.kr/community/bulletin/notice/21760?max=100&offset=700&bulletinCategoryId=1,data/images/70e8d697785290735e7c143b695e68ab.jpg
"[온라인 교육] 엡스코 12월 온라인 교육 안내(Academic Search, CINAHL)",2021년 11월 25일,"2021년12월엡스코 PUBLIC 온라인 교육 일정

?실시간 온라인 교육의 퀄리티를 높이기 위해 모든 교육 끝에 퀴즈가 출제(3문제) 됩니다.
교육에 참석한 모든 분들은 퀴즈까지 모두 참여해야 합니다. 출제된 문제의 난이도는 높지 않으며,
교육의 주제가 되는 DB에 접속-검색-확인하면 되는 간단하고 단순한 퀴즈로 구성되어 있습니다.
이는 DB 이용교육의 최종 목표라고 할 수 있는?""이용""에 초점을 맞춘 것입니다.

?NO
날짜 및 시간
교육 제목 (학술 DB)
간략 내용
교육 대상
교육등록
1
12월 3일
오후 2시
(약 40분)
[교육 시리즈 1]
정보검색 초심자를 위한 온라인 학술정보 정복 시리즈
(기초개념 편)
다학문분야 해외 학술DB를 바탕으로 학술정보 이용에 부담이 있는 초심자분들을 위해 기본 개념 등을 쉽게 살펴보는 교육입니다.
Academic Search
구독 기관
이용자 누구나
등록하기
2
12월 3일
오후 4시
(약 40분)
[기본교육]
내 책상 위에서 노벨상 수상자의 저서를 대출해보자! (해외 학술 eBook 대출 이용 Tip)
2020년 노벨물리학 및 경제학 수상자들의 저서를 이용하여 해외 eBook 대출할 때 필요한 전제조건에 대한 설명과 함께 주의사항 등을 실습해보는 교육입니다.
EBSCO eBooks구독 기관
이용자 누구나
등록하기
3
12월 8일
오후 2시
(약 40분)
[교육 시리즈 2]
정보검색 초심자를 위한 온라인 학술정보 정복 시리즈
(검색실습 편)
다학문분야 해외 학술DB를 바탕으로 학술정보 이용에 부담이 있는 초심자분들을 위해 ‘메타버스’ 관련 학술논문, 아티클 등을 어떻게 효과적으로 검색할 수 있는지 실습해보는 교육입니다.
Academic Search
구독 기관
이용자 누구나
등록하기
4
12월 8일
오후 4시
(약 40분)
[정기교육]
간호사들의 직무스트레스와 관련된 학술정보 살펴보기
간호/보건학 분야에 특화된 학술DB를 바탕으로구체적인 예시를 통해 학술정보를 검색하는 방법과 유용하게 사용 가능한 도구 등을 살펴보는 교육입니다.
CINAHL
구독 기관
이용자 누구나
등록하기
5
12월 9일
오후 2시
(약 40분)
[교육 시리즈 3]
정보검색 초심자를 위한 온라인 학술정보 정복 시리즈
(심화기능 편)
다학문분야 해외 학술DB를 바탕으로 학술정보 이용에 부담이 있는 초심자분들을 위한 마지막 시리즈로 주제어(시소러스)란 개념을 이해하고, ‘사회적 거리두기’ 와 관련된 주제와 함께 실습하는 교육입니다.
Academic Search
구독 기관
이용자 누구나
등록하기
6
12월 9일
오후 4시
(약 40분)
[정기교육-심화]
간호/보건학 학술정보 탐색을 위한 5가지 특수제한자의 개념 및 사용 방법
간호/보건학 분야 특화 데이터베이스인 CINAHL에서 특별하게 이용할 수 있는 특수제한자에 대해 소개하고 이용 방법에 대한 데모가 포함된 심화 교육
CINAHL
구독 기관
이용자
누구나
등록하기
",https://library.kangwon.ac.kr/community/bulletin/notice/21759?max=100&offset=700&bulletinCategoryId=1,
2021년도 2학기 기말고사 기간 열람실 이용안내(12/2~12/22),2021년 11월 23일,"2021년도 2학기 기말고사 기간?열람실 이용 방법을 아래와 같이 안내해 드리오니 이용에 참고하시기 바랍니다.

1. 기? ? 간 :2021. 12. 2.(목) ~ 2021. 12. 22.(수), 3주간
2. 장? ? 소 : 중앙 1,2일반열람실·스마트열람실, 자유열람석(로비 및 자료실 내)
3. 이용가능신분 :학부 및 대학원 재학생
4. 위 기간 동안 재학생을 제외한 모든 이용자는도서대출반납만 가능합니다.
5. 문의 :? 정보서비스팀 033-250-8019",https://library.kangwon.ac.kr/community/bulletin/notice/21758?max=100&offset=700&bulletinCategoryId=1,
핵심역량강화 독서후기대회 추가모집 안내(대학원생),2021년 11월 22일,"1.추가모집 대상:2021학년도2학기 대학원 재학생（춘천,삼척,도계）
2.제출서식:＜붙임 자료＞
3.제출기한: 2021. 11. 22.（월）~ 2021. 11. 28.（일）
4.제출처:이메일 제출（knulibrary@kangwon.ac.kr）
5.작성방법
가.대상도서:자유 선택
나.강원대학교5대 핵심역량 중1개 선택
*핵심역량내용은 제출서식의＇핵심역량 및 하위역량＇정의 참조
다.선택한 핵심역량 중심으로 독서후기 기술（공백제외2,000자 이내）
6.심사
가. 1차:제출된 독서후기 내용에 대해 표절검사（카피킬러）실시
*표절검사 결과 표절률30％이상시 심사에서 제외
**카피킬러 사용 방법: K-Cloud＞One-stop서비스＞카피킬러
나. 2차:심사 내용 및 배점
-문장력（30점）,논리력（30점）,핵심역량중심기술（40점）
7.문의:학술정보운영과 정보서비스팀（250-8016）
8.기타:수상작 발표 및 시상식은12월 중순 예정",https://library.kangwon.ac.kr/community/bulletin/notice/21752?max=100&offset=700&bulletinCategoryId=1,
기업정보 TS2000 사용설명회 개최안내,2021년 11월 22일,"경영대학에서 기업정보를 제공하는 웹서비스(TS2000)의 사용설명회를 다음과 같이 진행하오니 관심있는 대학원생 및 학부생의 많은 참여를 바랍니다.

1. 주제: 기업정보 TS2000 사용설명회
2. 일시:2021. 11. 24.(수) 16:00~18:00
3. 장소: 경영대 1호관 201호
4. 참석대상: 대학원생/학부생 선착순 30여명
5. TS2000 설명회 및 구독문의: ?경영대학 행정실 ☎250-6108
",https://library.kangwon.ac.kr/community/bulletin/notice/21750?max=100&offset=700&bulletinCategoryId=1,
좌석 임시 배정(가예약) 횟수 제한 안내(11/22~),2021년 11월 15일,,https://library.kangwon.ac.kr/community/bulletin/notice/21746?max=100&offset=700&bulletinCategoryId=1,data/images/bfe26925e3c876a6915b92856df5adf0.jpg
패치 작업에 따른 dcollection 사이트 불안정 안내(11/15),2021년 11월 15일,"dCollection 기능개선 패치 작업에 따라
서버를 여러번 재가동하는 과정에서? 학위논문
원문 접속이 원할하지 않을 수 있습니다.
작업 시간을 참고하셔서 이용해 주시면 감사하겠습니다.

작업 일시 : 11월 15일 오전 9시~12시(예상)

문의) 전산실
250-8018, 010-5641-1866(사무실 부재시)",https://library.kangwon.ac.kr/community/bulletin/notice/21743?max=100&offset=700&bulletinCategoryId=1,
수능일(11.18.목) 자료실 운영시간 변경 안내,2021년 11월 12일,"2022년도 수능일 11. 18.(목) 공공기관 출근시간 조정으로 인하여 자료실 운영시간을
아래와 같이 변경하오니 이용에 참고하시기 바랍니다.
기 존
변 경
장 서 실09:00 ~ 20:30
그 외 자료실09:00 ~ 18:00
장 서 실10:00 ~ 20:30
그 외 자료실10:00 ~ 18:00",https://library.kangwon.ac.kr/community/bulletin/notice/21742?max=100&offset=700&bulletinCategoryId=1,
책쓰기 프로젝트' 도서출판 및 이용안내,2021년 11월 10일,"여름방학동안 진행된 '책쓰기 프로젝트' 의 결과물로 2권의 도서가 출간 되었습니다.
1. 우리가 꿈꾸는 여름
2. 그 여름 파노라마
여름 내내 성실히 프로젝트에 임해주신 참여자 분들께 감사드립니다.

본 도서는 도서관 장서로 등록될 예정이며, 현재 장서실(5층) 전시서가에서 열람이 가능합니다.

문의: 정보서비스팀(250-8016)

",https://library.kangwon.ac.kr/community/bulletin/notice/21739?max=100&offset=700&bulletinCategoryId=1,
2021 저자초청강연회 온라인 참여 안내 (비교과/상시학습 인정),2021년 11월 09일,"2021 저자초청강연회 온라인 참여 안내

○ 초청강사: 강원국 작가 (주요저서: 대통령의 글쓰기, 어른답게 말합니다 등)
○ 강연주제: 말과 글이 순환하는 삶,?말 잘하고 글 잘 쓰는 법
○ 강의일시: 11.9(화) 15:00~16:30
○ 접속링크: https://kangwon-ac-kr.zoom.us/j/5275697340?pwd=dkUrRmZNeFNyTEVYZ1dnZzR3RTNLZz09
(회의실은 강의 시작 10분 전 개설?예정, 위 링크 작동하지 않을 시, 회의ID '527 569 7340' 통하여 접속)
○ 비밀번호: 8012
○ 참여자성명:학번/사번 + 실명
※학번 및 사번과 실명으로 지정하지 않은 경우비교과 프로그램 및 상시학습 실적으로인정되지 않음
※ 성명 양식 준수 및강의 종료 후 설문조사를 마친 경우에 한하여비교과 및 상시학습 실적으로 인정
○ 관련문의: 250-8012
",https://library.kangwon.ac.kr/community/bulletin/notice/21738?max=100&offset=700&bulletinCategoryId=1,
[이벤트]주라 주라 맞춰주라~ KRpia 퀴즈 이벤트,2021년 11월 09일,"
○ 행사명:?주라 주라 맞춰주라~ KRpia?퀴즈 이벤트
○ 행사기간:?11월?8일 오후?12시?~ 12월?12일
○ 행사내용
- 매일(월~금요일)오전9시,퀴즈 문제3개 업데이트
- 기관 회원 로그인 후 퀴즈 풀고 개인정보 입력하면 이벤트 응모 완료
- 매주 금요일,전주 월~금요일 퀴즈 참여한 회원 대상 당첨자 선정 후KRpia공지사항 내 당첨 발표 및 경품 증정
- 참여수 및 정답률 높을수록 당첨확률UP
○행사URL:https://www.krpia.co.kr/event/quiz/index",https://library.kangwon.ac.kr/community/bulletin/notice/21737?max=100&offset=700&bulletinCategoryId=1,data/images/bef038e7f34a92e2d2b2c63810013db2.jpg
도서관 인기대출도서 TOP 10 (2021년 10월),2021년 11월 08일,"

아래 링크를 클릭하여 다양한?도서 정보를 찾아보세요!
11~12월 테마도서 큐레이션 >>
전자도서관 >>사서 추천도서 >>
도서관 신착도서 >>학과별 추천도서 >>
[무료] 타기관 상호대차 비용 지원 안내 >>
",https://library.kangwon.ac.kr/community/bulletin/notice/21736?max=100&offset=700&bulletinCategoryId=1,data/images/3fdf82f35951804f829bb08d8fbea93a.jpg
확진자 중앙도서관 방문에 따른 코로나 검사 협조 요청(11.02),2021년 11월 08일,"춘천시 보건소로부터 코로나19확진자의 동선에 중앙도서관이 포함되어있다는 연락을 받았습니다.이에 해당되는 시간대에 확진자와 동일한 공간에 머물렀거나 의심증상이 있으신 분들께서는 반드시 코로나검사(PCR검사)를 받아주시기를 부탁드립니다.

- 11월2일(화) 15시~ : 5층 장서실,
- 11월2일(화) 18시18분~ : 5층 장서실,
- 11월2일(화) 22시2분~ : 2층 또는3층 로비 열람대(추정)

※도서관 실내소독은11월7일(일)에 완료",https://library.kangwon.ac.kr/community/bulletin/notice/21735?max=100&offset=700&bulletinCategoryId=1,
정보화본부 통합DB 점검에 따른 네트워크 서비스 중단(11.5),2021년 11월 05일,"정보화본부에서 K-cloud 통합 데이터배이스의
자원 추가, 최적화 작업을 진행함에?따라 학내
전체 네트워크 시스템이 일시적으로 중단됩니다.

작업 시간 동안에는 네트워크 관련(모바일 열람증,
와이파이, 인터넷 등)이용이 불가하니 참고해 주십시오.

일 ?시 : 2021.11.05.(금) 21시?~ 24시?(3시간)
※ 종료 시간은 작업 상황에 따라 단축 또는 연장될 수 있습니다.

문의) 전산실
250-8018, 010-5641-1866(문자 수신)",https://library.kangwon.ac.kr/community/bulletin/notice/21732?max=100&offset=700&bulletinCategoryId=1,
11~12월 테마도서『책으로 만나는 인공지능&메타버스』및 인기도서 전시 안내,2021년 11월 01일,"





11~12월 테마도서 및?인기도서는
중앙도서관 5층 장서실 전시서가에서 만나보실 수 있습니다.

전체 테마도서 목록 보러가기?>>",https://library.kangwon.ac.kr/community/bulletin/notice/21731?max=100&offset=700&bulletinCategoryId=1,data/images/74183f09fcb6733fe93b718681c78e87.jpg;data/images/7bf1293f5eaa9c23be54f9caf10fe5ca.jpg;data/images/417b77755e22b12a54a98eff096e8ea6.jpg
도서관 저자초청강연회(강원국 작가) 안내,2021년 10월 29일,"강원국 작가 초청 강연회 및 사인회
“말과 글이 순환하는 삶:말 잘하고 글 잘 쓰는 법”
□일 시: 11. 9(화),오후3시~ 4시30분
- 발열 체크 및 명부 작성 등을?위하여?강연 시작 10분 전까지 도착 요망
□장 소:중앙도서관 백령시네마(4F)
□참여방법
-현장 참여:홈페이지 사전 신청(선착순 30명/대기?5명) ★ 대기인원: 기존인원(30명) 중 불참인원 발생시?참석(별도 연락 드립니다.)
☞ 신청일시: 11. 2(화) 오전 10시 ~ 5(금) 오후 3시
☞?신청방법: 도서관 홈페이지 > 연구학습지원 > 도서관 이용교육
-온? 라? 인: ZOOM실시간 송출
☞강의링크:?강연 당일 도서관 홈페이지 공지사항 및 강원대학교 어플 K-피드 알림으로 게시
□기타사항
-강연 종료 후 현장 참여자대상 강연자 친필 사인회 진행 (도서 1인 1책 무상 제공, 사전 신청 후 현장 참여한 인원 대상)
-현장 및 온라인 참여자 대상 비교과 활동 및 평생학습 인정 처리
☞온라인의 경우 참여자 성명을'학번/사번+실명'으로 설정하였을 경우에만 인정 가능
☞ 참여 시간이 60분 미만인 경우?비교과 및 평생학습 불인정
□문의사항: 250-8012",https://library.kangwon.ac.kr/community/bulletin/notice/21730?max=100&offset=700&bulletinCategoryId=1,
[비교과] 온라이브 리딩 콘서트 안내(2021년 연중운영),2021년 10월 28일,,https://library.kangwon.ac.kr/community/bulletin/notice/21721?max=100&offset=700&bulletinCategoryId=1,data/images/cf701fac2d0aea482bc95e9cb026ddd1.jpg
Yes24 전자책(E-Book) 오류 문제,2021년 10월 27일,"현재 예스24에서 제공하는 국내 전자책 컨텐츠와
메인 플랫폼의 데이터베이스 Sync가 틀어져서
대출이나 반납에 오류가 발생하고 있습니다.

현재 조치중에 있으며?이용에 어려움이 있는
이용자는 해당 도서 제목을 아래 연락처로 문의
주시면 수동으로 처리해드리도록 하겠습니다.

불편을 드려서 대단히 죄송합니다.

문의)전산실
250-8018, 010-5641-1866(사무실 부재 시-문자 수신도 가능)",https://library.kangwon.ac.kr/community/bulletin/notice/21720?max=100&offset=700&bulletinCategoryId=1,
2021년 핵심역량강화 독서후기 대회 안내,2021년 10월 26일,"1.대회명: 2021년 핵심역량강화 독서후기 대회
2.참가대상: 2021학년도2학기 학부 및 대학원 재학생(춘천,삼척,도계)
3.제출서식: <붙임 자료>
4.제출기한: 2021. 11. 1.(월) ~ 11. 19.(금)
5.제출처:이메일 제출(knulibrary@kangwon.ac.kr)
6.작성방법
가.대상도서:자유 선택
나.강원대학교5대 핵심역량 중1개 선택
*핵심역량내용은 제출서식의'핵심역량 및 하위역량'정의 참조
다.선택한 핵심역량 중심으로 독서후기 기술(공백제외2,000자 이내)
7.심사
가. 1차:제출된 독서후기 내용에 대해 표절검사(카피킬러)실시
*통과기준:표절률30%미만
**카피킬러 사용 방법: K-Cloud > One-stop서비스>카피킬러
※학부생은 위의 방법으로 카피킬러 사용이 불가함에 따라 제출된 모든 독서후기에 대해 통과여부 개별 통보
나. 2차:심사 내용 및 배점
내용
문장력
논리력
핵심역량중심기술
계
배점
30
30
40
100

8.포상(학부: 14명,대학원: 14명)
내용
선발 인원(명)
개인별 포상금액(원)
상장
대상
2 (학부,대학원 각1명)
500,000
총장상
최우수상
4 (학부,대학원 각2명)
300,000
우수상
6 (학부,대학원 각3명)
200,000
도서관장상
장려상
16 (학부,대학원 각8명)
100,000
계
28명



9.문의:학술정보운영과 정보서비스팀(250-8016)
10.기타:수상작 발표 및 시상식은12월 초 예정
",https://library.kangwon.ac.kr/community/bulletin/notice/21717?max=100&offset=700&bulletinCategoryId=1,
아침독서 온라인 퀴즈(3차) 정답 및 경품 당첨자 안내,2021년 10월 26일,"2021년‘강원대학교 도서관 아침독서’온라인 퀴즈(3차)
- 내용: 2021. 1. ~ 2021. 9.아침독서36권의 도서요약 내용
-기간: 2021. 10. 12.(화) ~ 10. 25.(월)
-참여자: 329명(춘천: 245명,삼척·도계: 84명)
-정답자: 221명(춘천: 174명,삼척·도계: 47명)
□아침독서 온라인 퀴즈(3차)정답
문항
정답
1
다변량분석
2
목련
3
신기후체제
4
부정합의 법칙
5
양자역학
□아침독서 온라인 퀴즈(3차)경품 당첨자:첨부물 참조
※경품은 퀴즈 참여시 기입하신 핸드폰으로 온라인 상품권이 지급되었습니다.
□비교과마일리지(비교과인증프로그램)
-학생참여자 전원에게 비교과마일리지 부여
□문의:정보서비스팀(250-8016)",https://library.kangwon.ac.kr/community/bulletin/notice/21716?max=100&offset=700&bulletinCategoryId=1,
네트워크 장애 안내(10/25~),2021년 10월 25일,"10월 25일 11시 30분 학교 인터넷 공급 업체인 KT에서
전국적인 통신 장애가?발생하여 네트워크?접속이 불안정한 상태입니다.
현재 KT에서 복구 작업중이며 완료 시까지 인터넷 끊김이나
모바일앱 접속 장애가 있을 수 있으니 이용에 참고해 주십시오.

문의)
전산실
250-8018, 010-5641-1866(사무실 부재 시)",https://library.kangwon.ac.kr/community/bulletin/notice/21715?max=100&offset=700&bulletinCategoryId=1,
[온라인 교육] DBpia 학술자료 및 A+ 리포트 작성법 정복!,2021년 10월 21일,,https://library.kangwon.ac.kr/community/bulletin/notice/21714?max=100&offset=700&bulletinCategoryId=1,data/images/1d63ebd40cb2cb8fec59e2abe5fea747.jpg
